group	side	ckey	rawpath	value	site
gamma	S4_合同schema	gamma	psfsw.composite.exponents.gamma	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/exponents/gamma
delta	S4_合同schema	delta	psfsw.composite.exponents.delta	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/composite/exponents/delta
construction	S4_合同schema	construction	psfsw.common_star_set.construction	enum=["external_catalog","reference_stack_threshold"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/common_star_set/construction
n_common	S4_合同schema	n_common	psfsw.common_star_set.n_common	minimum=3	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/common_star_set/n_common
exclusion_flags	S4_合同schema	exclusion_flags	psfsw.common_star_set.exclusion_flags	enum=["saturated","blended","trailed","moving","psf_mismatch","edge_truncated"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/common_star_set/exclusion_flags/items
reason	S4_合同schema	reason	psfsw.validity.reason	enum=[null,"no_common_star_set","background_nonpositive_undefined_transform","insufficient_valid_stars","selection_bias_gate_failed","spatial_nonuniformity_gate_failed"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/validity/reason
baselines	S4_合同schema	baselines	psfsw.baseline_comparison.baselines	enum=["equal","exposure","pixel_ivar","W_info"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/baseline_comparison/baselines/items
valid_area_fraction	S4_合同schema	valid_area_fraction	psfsw.component.spatial_summary.valid_area_fraction	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/component/spatial_summary/valid_area_fraction
psfsw	S4_合同schema	psfsw	psfsw	enum=["ivar","inverse_variance","variance","var","sigma","sigma2","fisher","fisher_information","information","w_info","w_psf"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/not
schema	S4_合同schema	provenance_schema	provenance.provenance_schema	const="astrocs.v6.provenance/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/provenance_schema
schema_version	S4_合同schema	schema_version	provenance.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/schema_version
schema_version	S4_合同schema	schema_version	provenance.product.schema_version	minimum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/product/schema_version
semantics	S4_合同schema	pixel_semantics	provenance.units.pixel_semantics	enum=["surface_brightness","integrated_flux"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	provenance.units.pixel_area_power	const=null	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/units/pixel_area_power/not
target_pixel_area	S4_合同schema	target_pixel_area	provenance.units.target_pixel_area	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/units/target_pixel_area
max_systematic_deviation	S4_合同schema	max_systematic_deviation	provenance.degradations.max_systematic_deviation	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/degradations/items/max_systematic_deviation
sampling_coverage	S4_合同schema	sampling_coverage	provenance.degradations.sampling_coverage	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/degradations/items/sampling_coverage
model_error	S4_合同schema	model_error	provenance.degradations.model_error	minimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/degradations/items/model_error
representation	S4_合同schema	representation	provenance.correlation_summary.representation	enum=["correlation_kernel","low_rank_factors","common_master","full_matrix_unavailable"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/correlation_summary/representation
mean_abs_rho	S4_合同schema	mean_abs_rho	provenance.correlation_summary.mean_abs_rho	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/correlation_summary/mean_abs_rho
max_abs_rho	S4_合同schema	max_abs_rho	provenance.correlation_summary.max_abs_rho	minimum=0;maximum=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/correlation_summary/max_abs_rho
flux_conservation_factor	S4_合同schema	flux_conservation_factor	provenance.flux_conservation_factor	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/flux_conservation_factor
definition	S4_合同schema	definition	provenance.k_corr.definition	const="k_corr = Var(median)/[pi sigma_bg^2/(2 N_retained)]"	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/k_corr/definition
k_corr.value	S4_合同schema	k_corr.value	provenance.k_corr.value	exclusiveMinimum=0	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/k_corr/value
k_corr.value	S4_合同schema	k_corr.value	provenance.k_corr.value	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/k_corr/value/not
bunit	S4_合同schema	bunit	provenance.units.bunit	const="ADU"	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/if/units/bunit
semantics	S4_合同schema	pixel_semantics	provenance.units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/then/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	provenance.units.pixel_area_power	const=-2	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/then/units/pixel_area_power
pixel_area_power	S4_合同schema	pixel_area_power	provenance.units.pixel_area_power	const=-2	eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/then/units/pixel_area_power
schema	S4_合同schema	phase3_schema	phase3.phase3_schema	const="astrocs.v6.phase3/v1"	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/phase3_schema
schema_version	S4_合同schema	schema_version	phase3.schema_version	const=1	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/schema_version
output_mode	S4_合同schema	output_mode	phase3.output_mode	enum=["surface_brightness","point_source_flux","visualization"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/output_mode
omega.units	S4_合同schema	omega.units	phase3.omega.units	const="sr"	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/omega/units
representation	S4_合同schema	representation	phase3.omega.representation	enum=["per_pixel_map","analytic_jacobian","both"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/omega/representation
required_for	S4_合同schema	required_for	phase3.omega.required_for	enum=["surface_brightness_flux_conversion","point_source_flux"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/omega/required_for/items
family	S4_合同schema	family	phase3.kernel_registry_entry.family	enum=["nearest","bilinear_4quad","higher_order"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/kernel_registry_entry/family
semantics	S4_合同schema	semantics	phase3.kernel_registry_entry.semantics	enum=["surface_brightness","integrated_flux"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/kernel_registry_entry/semantics
kernel_registry_entry.status	S4_合同schema	kernel_registry_entry.status	phase3.kernel_registry_entry.status	enum=["not_registered","registered","deprecated"]	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/kernel_registry_entry/status
formula	S4_合同schema	resample_formula	phase3.kernel_registry_entry.resample_formula	const="nearest: var_out = u_in; bilinear: var_out = Sum_k c_k^2 u_k (Sum c_k=1, Sum c_k^2 != 1)"	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/kernel_registry_entry/resample_formula
recomputed_in_output_frame	S4_合同schema	recomputed_in_output_frame	phase3.qw_recompute.recomputed_in_output_frame	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/qw_recompute/recomputed_in_output_frame
formula	S4_合同schema	formula	phase3.qw_recompute.formula	const="Q=a*pi^T C_y^-1 f; W=a^2*pi^T C_y^-1 pi; F_hat=Q/W; Var=1/W"	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/qw_recompute/formula
input_w_info_consumed_without_recompute	S4_合同schema	input_w_info_consumed_without_recompute	phase3.qw_recompute.input_w_info_consumed_without_recompute	const=true	eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/qw_recompute/input_w_info_consumed_without_recompute
schema_version	S4_合同schema	schema_version	schema_version	const="3"	eng/contracts/schemas/projection_registry.schema.json#/schema_version
registry_version	S4_合同schema	registry_version	registry_version	const=3	eng/contracts/schemas/projection_registry.schema.json#/registry_version
frozen_set	S4_合同schema	frozen_set	frozen_set	enum=["TAN","SIN","CAR","AIT","STG","MOL","CEA","ZEA"]	eng/contracts/schemas/projection_registry.schema.json#/frozen_set/items
projections.id	S4_合同schema	projections.id	projections.id	minimum=0	eng/contracts/schemas/projection_registry.schema.json#/projections/items/id
code	S4_合同schema	code	projections.code	enum=["TAN","SIN","CAR","AIT","STG","MOL","CEA","ZEA"]	eng/contracts/schemas/projection_registry.schema.json#/projections/items/code
dec_deg	S4_合同schema	max_abs_crval_dec_deg	projections.max_abs_crval_dec_deg	exclusiveMinimum=0;maximum=90	eng/contracts/schemas/projection_registry.schema.json#/projections/items/max_abs_crval_dec_deg
max_fov_deg	S4_合同schema	max_fov_deg	projections.max_fov_deg	exclusiveMinimum=0	eng/contracts/schemas/projection_registry.schema.json#/projections/items/max_fov_deg
domain	S4_合同schema	domain	projections.domain	enum=["zenithal","cylindrical","pseudo-cylindrical"]	eng/contracts/schemas/projection_registry.schema.json#/projections/items/domain
lonpole_default	S4_合同schema	lonpole_default	projections.lonpole_default	enum=["paper2_default","n/a"]	eng/contracts/schemas/projection_registry.schema.json#/projections/items/lonpole_default
implemented	S4_合同schema	implemented	projections.implemented	const=true	eng/contracts/schemas/projection_registry.schema.json#/projections/items/implemented
schema	S4_合同schema	manifest_schema	manifest_schema	const="astrocs.run-manifest/v1"	eng/contracts/schemas/run_manifest.schema.json#/manifest_schema
stage	S4_合同schema	stage	stage	enum=["normalize","mosaic","export"]	eng/contracts/schemas/scheduler_probe_event.schema.json#/stage
kind	S4_合同schema	kind	kind	enum=["node_wall","queue_wait","block_birth","block_death","rss","io","worker_busy","cache_hit"]	eng/contracts/schemas/scheduler_probe_event.schema.json#/kind
bytes	S4_合同schema	bytes	bytes	minimum=0	eng/contracts/schemas/scheduler_probe_event.schema.json#/bytes
unit	S4_合同schema	unit	unit	enum=["s","B","1"]	eng/contracts/schemas/scheduler_probe_event.schema.json#/unit
frame_id	S4_合同schema	frame_id	frame_id	minimum=0	eng/contracts/schemas/scheduler_probe_event.schema.json#/frame_id
window_id	S4_合同schema	window_id	window_id	minimum=0	eng/contracts/schemas/scheduler_probe_event.schema.json#/window_id
worker	S4_合同schema	worker	worker	minimum=0	eng/contracts/schemas/scheduler_probe_event.schema.json#/worker
schema	S4_合同schema	schema	schema	const="astrocs.task-result/v2"	eng/contracts/schemas/task_result.schema.json#/schema
status	S4_合同schema	status	status	enum=["PASS","FAIL","WAITING_WINDOWS"]	eng/contracts/schemas/task_result.schema.json#/status
change_class	S4_合同schema	change_class	change_class	enum=["governance","audit","release","quality","architecture","science","algorithm","api","performance","test","documentation","validation"]	eng/contracts/schemas/task_result.schema.json#/change_class
timeout_seconds	S4_合同schema	timeout_seconds	commands.timeout_seconds	minimum=1	eng/contracts/schemas/task_result.schema.json#/commands/items/timeout_seconds
duration_seconds	S4_合同schema	duration_seconds	commands.duration_seconds	minimum=0	eng/contracts/schemas/task_result.schema.json#/commands/items/duration_seconds
result	S4_合同schema	result	tests.result	enum=["PASS","FAIL","NOT_RUN"]	eng/contracts/schemas/task_result.schema.json#/tests/items/result
schema	S4_合同schema	schema	schema	const="astrocs.traceability-matrix/v1"	eng/contracts/schemas/traceability_matrix.schema.json#/schema
authoring_task	S4_合同schema	authoring_task	authoring_task	const="DOC-001"	eng/contracts/schemas/traceability_matrix.schema.json#/authoring_task
authoring_owner	S4_合同schema	authoring_owner	authoring_owner	const="SA-QA-29"	eng/contracts/schemas/traceability_matrix.schema.json#/authoring_owner
